time,resultDescription
2025-10-06T09:00:29.323988Z,"2025-10-06 09:00:29,323 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T09:03:01.2575669Z,"2025-10-06 09:03:01,251 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-06T09:54:07.7969408Z,"2025-10-06 09:54:07,796 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-06T09:59:15.6154316Z,"2025-10-06 09:59:15,615 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-06T09:57:43.6376697Z,"2025-10-06 09:57:43,635 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T10:00:26.493175Z,"2025-10-06 10:00:26,492 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T10:07:39.4007556Z,"2025-10-06 10:07:39,400 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T10:12:02.8787546Z,"2025-10-06 10:12:02,878 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T10:13:08.7585783Z,"2025-10-06 10:13:08,758 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T10:58:08.8048271Z,"2025-10-06 10:58:08,804 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-06T11:10:15.8300388Z,"2025-10-06 11:10:15,829 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
